epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3270.94,1.25438,1.65794,1.18565,0.41868,0.32865,0.29455,0.20178,1.13698,1.55024,1.13997,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3356.64,1.24058,1.6485,1.18082,0.42626,0.33487,0.30266,0.20975,1.1314,1.53225,1.13788,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3442.29,1.24685,1.6291,1.17987,0.43136,0.33387,0.30097,0.20732,1.12101,1.54504,1.13035,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3528.07,1.24729,1.63336,1.18276,0.44332,0.33299,0.30346,0.20977,1.12449,1.52899,1.13323,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3612.65,1.23955,1.61685,1.17346,0.45349,0.33048,0.30521,0.21093,1.12559,1.51962,1.13117,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3697.8,1.23146,1.59966,1.16816,0.43249,0.33883,0.30422,0.21058,1.11865,1.52094,1.13244,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3783.74,1.23044,1.61352,1.17121,0.4257,0.34416,0.30945,0.21404,1.11184,1.50795,1.12425,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3869.22,1.22456,1.59592,1.16612,0.43511,0.33699,0.30872,0.21359,1.10814,1.50329,1.12239,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3954.65,1.21993,1.58773,1.16478,0.42661,0.34462,0.30919,0.21327,1.11437,1.50631,1.12419,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4039.41,1.21378,1.57562,1.16051,0.45906,0.32449,0.30801,0.21262,1.10908,1.5079,1.12438,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4124.17,1.21324,1.56693,1.15771,0.44708,0.33802,0.31029,0.21506,1.10677,1.49321,1.1245,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4208.91,1.20719,1.56415,1.15972,0.45163,0.33826,0.31162,0.21636,1.10087,1.49334,1.11781,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4293.46,1.20691,1.55834,1.15527,0.45471,0.33964,0.31517,0.2187,1.10109,1.48645,1.1186,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4379.49,1.2063,1.54122,1.15221,0.44291,0.34804,0.31634,0.21834,1.09469,1.47621,1.11119,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4464.12,1.20282,1.54054,1.1513,0.44769,0.34415,0.31511,0.21859,1.09059,1.4812,1.10993,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4549.05,1.19412,1.53294,1.14837,0.45285,0.34603,0.31541,0.21924,1.09854,1.48244,1.11097,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4633.49,1.19496,1.53314,1.14587,0.44339,0.34402,0.3153,0.22118,1.0985,1.48836,1.11178,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4718.34,1.18392,1.51356,1.14141,0.45538,0.34786,0.31807,0.22204,1.09654,1.48606,1.10895,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4802.68,1.19455,1.51305,1.14324,0.44635,0.35543,0.31868,0.22224,1.09557,1.48306,1.11069,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4887.09,1.19083,1.50858,1.13911,0.44791,0.35082,0.318,0.22111,1.09548,1.4763,1.10957,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4971.69,1.17443,1.49632,1.13824,0.43893,0.35201,0.31962,0.22242,1.08743,1.46838,1.10548,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5055.07,1.18818,1.49087,1.13848,0.43698,0.3485,0.31813,0.2221,1.09058,1.47081,1.10775,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5138.99,1.17281,1.4801,1.13276,0.43994,0.34587,0.31963,0.22325,1.08948,1.46756,1.10602,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5223.79,1.17079,1.47388,1.13354,0.44191,0.3466,0.32097,0.22433,1.08397,1.46179,1.10463,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5308.69,1.17401,1.47613,1.13188,0.44048,0.34884,0.32118,0.22443,1.08163,1.45671,1.10324,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5393.9,1.17177,1.46448,1.1295,0.44119,0.35458,0.32274,0.22629,1.08065,1.45433,1.10312,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5478.61,1.15731,1.46108,1.13016,0.44647,0.3479,0.32216,0.22592,1.07871,1.45448,1.10291,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5563.83,1.16369,1.44187,1.12581,0.44434,0.3495,0.32272,0.2271,1.07971,1.45126,1.10324,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5649.79,1.1567,1.44092,1.12439,0.45094,0.3425,0.32165,0.22654,1.07927,1.44924,1.10316,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5735.5,1.1565,1.43107,1.12318,0.45292,0.3431,0.32097,0.22609,1.07815,1.44775,1.1016,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5820.91,1.15322,1.42834,1.11946,0.43879,0.35027,0.32003,0.2257,1.07642,1.44771,1.09956,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5907.94,1.15162,1.41655,1.1184,0.43313,0.35215,0.32132,0.22623,1.07547,1.44315,1.09863,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
